id_szkoly,id_ucznia,pomiar,grupa,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22,mat_23,mat_24,mat_25,mat_26,mat_27,mat_28,mat_29,mat_30,mat_31,mat_33,mat_34,mat_35,mat_36,mat_37,mat_38,mat_39,mat_40,mat_41,mat_42,mat_43,mat_44,mat_45,mat_46,mat_47,mat_32,mat_48
91,2223471,1,1,,,,,,,,,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,,,,,,,,,0,1,1,1,0,0,1,0,,,,,,,,0,
91,2223553,2,1,1,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,1,1,0,1,0,0,1,1,,,,,,,,,1,1,1,1,1,1,1,,1
91,2223553,1,1,,,,,,,,,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,,,,,,,,,0,1,1,0,1,1,0,0,,,,,,,,1,
91,2223531,2,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,,,,,,,,,0,0,0,0,0,0,0,,0
91,2223499,1,1,,,,,,,,,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,0,1,1,0,1,1,0,0,,,,,,,,1,
91,2223517,1,1,,,,,,,,,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,,1,
91,2223545,1,1,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,0,
91,2223485,1,1,,,,,,,,,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,1,
91,2223545,2,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,0
91,2223471,2,1,0,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,,,,,,,,,1,0,0,0,0,0,1,,0
91,2223581,1,1,,,,,,,,,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,0,1,1,0,1,1,1,0,,,,,,,,1,
91,2223485,2,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,,,,,,,,,0,1,1,0,1,0,0,,1
91,2223581,2,1,1,1,0,1,0,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,,,,,,,,,1,1,1,1,1,1,1,,1
91,2223499,2,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,,,,,,,,,1,1,1,0,0,1,1,,1
91,2223531,1,1,,,,,,,,,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,,,,,,,,,1,1,0,0,1,0,1,0,,,,,,,,1,
91,2223517,2,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,,,,,,,,,0,1,0,0,0,1,0,,1
